時間,最高氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),時間,價格
108.4.2,17.9,90,0.4,0,108.4.2,12.8
108.4.3,17.4,97,1.8,0,108.4.3,21.6
108.4.4,24.6,87,1,7.6,108.4.4,2
108.4.5,21.8,88,0,1.6,108.4.5,2
108.4.6,24.2,81,0,4.9,108.4.6,19.7
108.4.7,25.1,85,0,4,108.4.7,80
108.4.8,27.3,80,0,8,108.4.8,87.8
108.4.9,26.9,85,0,6.6,108.4.9,76.4
108.4.10,26.7,77,0,7.4,108.4.10,53.1
108.4.11,23.2,88,18.9,0.2,108.4.11,30.7
108.4.12,16.7,89,1.3,3.5,108.4.12,41
108.4.13,20.3,92,3.8,0.9,108.4.13,35.5
108.4.14,22.9,92,3.5,0.7,108.4.14,33.8
108.4.15,17.7,83,2.6,0.8,108.4.15,31.4
108.4.16,17.8,98,8.5,0,108.4.16,37.1
108.4.17,22.2,80,0,6.5,108.4.17,43.5
108.4.18,25.9,82,0,4.5,108.4.18,45.4
108.4.19,25.6,89,6.4,0.9,108.4.19,45.5
108.4.20,24.9,88,38.9,2,108.4.20,54.7
108.4.21,24.5,88,34.5,1.5,108.4.21,55.5
108.4.22,27.5,87,7.7,4.6,108.4.22,50.7
108.4.23,28,84,0,6.5,108.4.23,41.9
108.4.24,28,86,0,7.8,108.4.24,41.2
108.4.25,29,80,0,8.4,108.4.25,41.7
108.4.26,26.7,85,0,7.4,108.4.26,41.1
108.4.27,20.6,91,3.7,1.1,108.4.27,35.7
108.4.28,24.4,85,0,5.6,108.4.28,35
108.4.29,27.6,82,0,8,108.4.29,32.7
108.4.30,26.8,84,0,2.8,108.4.30,31.4
108.5.1,21.3,91,58,0,108.5.1,31.7
108.5.2,17,83,6.4,0,108.5.2,42.5
108.5.3,20.4,78,2.2,9.8,108.5.3,42
108.5.4,19.6,78,T,0,108.5.4,40.7
108.5.5,22.7,78,0.5,5.1,108.5.5,48.9
108.5.6,18.6,87,37.1,0,108.5.6,57.8
108.5.7,16,91,20.6,0.1,108.5.7,67.6
108.5.8,19.4,92,2.6,0,108.5.8,71.2
108.5.9,19.1,98,14.7,0,108.5.9,69.5
108.5.10,22.5,91,1,1,108.5.10,60.2
108.5.11,25.4,86,0,5.1,108.5.11,57.4
108.5.12,27.6,85,0,7.7,108.5.12,50.6
108.5.13,27.2,78,0,8.4,108.5.13,48.2
108.5.14,27,87,0,2.1,108.5.14,43.9
108.5.15,25.6,89,0,0,108.5.15,41.8
108.5.16,25.4,89,2.5,0,108.5.16,36.6
108.5.17,24.5,90,37,0.3,108.5.17,38.1
108.5.18,24.7,92,10.1,0.3,108.5.18,34.7
108.5.19,27.7,85,16.5,1.9,108.5.19,34.7
108.5.20,24.6,89,230.3,0,108.5.20,36.4
108.5.21,21,66,0,3.3,108.5.21,30.2
108.5.22,22.9,64,0,0.1,108.5.22,27.8
108.5.23,23.3,89,13,2.5,108.5.23,27.7
108.5.24,26.9,82,0,7.4,108.5.24,31.2
